img,title,console,genre,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date,last_update
/games/boxart/full_178206AmericaFrontccc.jpg,Metal Gear Solid V: Ground Zeroes,X360,Action-Adventure,Konami Digital Entertainment,Kojima Productions,83.0,0.14,0.06,0.01,0.05,0.01,2014-03-18,2018-03-22
/games/boxart/full_7513537PALFrontccc.png,Ys VIII: Lacrimosa of Dana,NS,Role-Playing,NIS America,Nihon Falcom Corporation,85.0,0.11,0.03,0.03,0.03,0.01,2018-06-26,2018-01-11
/games/boxart/full_4315490AmericaFrontccc.jpg,Dead or Alive 5 Last Round,XOne,Fighting,Tecmo Koei,Team Ninja,75.0,0.1,0.05,0.01,0.03,0.01,2015-02-17,2018-11-20
/games/boxart/full_5263151AmericaFrontccc.jpg,NBA 2K18,PS3,Sports,2K Sports,Visual Concepts,70.0,0.09,0.06,0.01,0.01,0.01,2017-09-19,2018-04-02
/games/boxart/full_5385218AmericaFrontccc.jpg,Tank! Tank! Tank!,WiiU,Misc,Namco Bandai Games,Namco Bandai Games,47.0,0.07,0.02,0.05,0.01,0.0,2012-11-18,2018-01-18
/games/boxart/full_2326308AmericaFrontccc.jpg,Sushi Striker: The Way of Sushido,NS,Puzzle,Nintendo,Indies Zero,79.0,0.07,0.02,0.03,0.01,0.0,2018-06-08,2020-07-23
/games/boxart/full_2874583AmericaFrontccc.jpg,RPG Maker: Fes,3DS,Role-Playing,NIS America,Kadokawa Games,70.0,0.07,0.03,0.02,0.0,0.0,2017-06-27,2018-04-22
/games/boxart/full_4489495AmericaFrontccc.jpg,BlazBlue: Cross Tag Battle,NS,Fighting,Arc System Works,Arc System Works,80.0,0.07,0.04,0.01,0.01,0.01,2018-06-05,2018-06-06
/games/boxart/full_5524695AmericaFrontccc.jpg,Disgaea 1 Complete,NS,Role-Playing,NIS America,Nippon Ichi Software,80.0,0.06,0.03,0.01,0.01,0.0,2018-10-09,2019-02-19
/games/boxart/full_5198003AmericaFrontccc.jpg,GrimGrimoire,PS2,Strategy,NIS America,Vanillaware,77.0,0.05,0.01,0.03,0.01,0.0,2007-06-26,2019-01-10
/games/boxart/full_8777680PALFrontccc.png,Tenkai Knights: Brave Battle,3DS,Action,Namco Bandai Games,Delta Factory,45.0,0.02,0.01,0.0,0.01,0.0,2014-10-07,2019-01-24
